OrderId,OrderDate,UserId,TotalCharges,CommonId,PupId,PickupDate
276,1/19/09,112, $17.76 ,ALMYV,3,1/20/09
1765,11/13/09,141, $30.87 ,Z8UXB,5,11/13/09
2830,2/14/10,147, $23.26 ,P3TFZ,6,2/18/10
2030,12/13/09,160, $37.46 ,83AUQ,4,12/14/09
2284,1/10/10,160, $65.09 ,VRHJ2,4,1/12/10
2724,2/8/10,177, $44.79 ,AR6KK,7,2/9/10
2742,2/9/10,177, $41.69 ,K4XER,7,2/9/10
603,5/19/09,180, $66.21 ,55HUW,4,5/21/09
1276,9/21/09,180, $46.05 ,SVJDZ,4,9/22/09
285,1/27/09,182, $291.64 ,HJKAY,3,1/27/09
2911,2/18/10,182, $390.07 ,SX8NP,15,2/19/10
2987,2/22/10,182, $79.44 ,F95QZ,3,2/23/10
3158,3/4/10,182, $260.12 ,KP8F9,15,3/5/10
3219,3/8/10,182, $270.14 ,NN5EG,15,3/8/10
410,4/7/09,200, $29.80 ,EA2CB,3,4/7/09
578,5/14/09,200, $6.26 ,RSXPW,3,5/21/09
884,7/13/09,200, $2.24 ,QSVQH,3,7/14/09
995,8/2/09,200, $13.67 ,Z5N3E,5,8/7/09
1402,10/12/09,200, $13.58 ,8MNCV,3,10/13/09
1454,10/19/09,200, $6.54 ,WPT5K,3,10/20/09
2387,1/18/10,200, $7.44 ,AUXH3,15,1/18/10
385,3/22/09,202, $101.83 ,GQ4BY,4,3/24/09
416,4/8/09,202, $206.32 ,LEFC5,4,4/9/09
504,4/30/09,202, $142.04 ,DYHKW,4,4/30/09
526,5/5/09,202, $111.41 ,GF7X7,4,5/5/09
561,5/12/09,202, $96.14 ,QMK96,4,5/12/09
607,5/20/09,202, $162.41 ,D2FFR,4,5/21/09
643,5/27/09,202, $144.73 ,Q7SX8,4,5/28/09
673,6/3/09,202, $81.82 ,78V2J,4,6/4/09
799,6/29/09,202, $208.52 ,GY9K5,4,6/30/09
1041,8/11/09,202, $142.86 ,ZGVP3,4,8/11/09
1085,8/20/09,202, $230.71 ,VN5CM,4,8/20/09
1158,9/1/09,202, $164.30 ,FPWM2,4,9/1/09
1205,9/8/09,202, $243.93 ,5WDD3,4,9/8/09
1425,10/15/09,202, $173.65 ,R5D99,4,10/15/09
1457,10/19/09,202, $87.65 ,QALA2,11,10/21/09
1535,10/27/09,202, $206.29 ,4AKAR,11,10/28/09
1600,11/4/09,202, $115.95 ,JJMGA,11,11/4/09
1689,11/11/09,202, $216.39 ,J47X2,11,11/11/09
1814,11/18/09,202, $158.94 ,U68KQ,11,11/18/09
2496,1/26/10,202, $161.77 ,S9NWW,4,1/26/10
265,1/13/09,207, $32.96 ,MZ562,3,1/13/09
279,1/20/09,207, $24.24 ,UMUAD,3,1/20/09
299,2/5/09,207, $22.60 ,LBM3R,3,2/5/09
312,2/12/09,207, $55.40 ,S4LPV,3,2/12/09
313,2/12/09,207, $3.02 ,69ZDJ,3,2/12/09
326,2/19/09,207, $28.29 ,XVXS3,3,2/19/09
327,2/19/09,207, $2.65 ,D8KLE,3,2/19/09
328,2/19/09,207, $2.80 ,BJLRA,3,2/19/09
338,2/26/09,207, $29.22 ,2HJA7,3,2/26/09
339,2/26/09,207, $28.34 ,4P2HZ,3,2/26/09
357,3/10/09,207, $17.81 ,L4RPU,4,3/10/09
370,3/17/09,207, $45.30 ,NEMEB,4,3/17/09
388,3/24/09,207, $39.30 ,Q2LQ7,4,3/24/09
430,4/14/09,207, $14.42 ,TEHSY,4,4/14/09
466,4/23/09,207, $28.17 ,9FYMW,4,4/23/09
569,5/14/09,207, $38.95 ,C6428,4,5/14/09
612,5/21/09,207, $31.77 ,7LEMS,4,5/21/09
649,5/28/09,207, $34.24 ,JP57U,4,5/28/09
676,6/4/09,207, $41.12 ,9EA7H,4,6/4/09
707,6/11/09,207, $22.67 ,MHEMQ,4,6/11/09
733,6/16/09,207, $46.38 ,U74LF,4,6/16/09
783,6/25/09,207, $14.66 ,6Q7T3,4,6/25/09
802,6/30/09,207, $9.25 ,BZZ3Z,4,6/30/09
936,7/23/09,207, $29.41 ,BYNX4,4,7/23/09
958,7/27/09,207, $30.60 ,QQFV6,4,7/28/09
1043,8/11/09,207, $83.24 ,LNHHE,4,8/11/09
1074,8/18/09,207, $57.41 ,2WE66,4,8/18/09
1117,8/25/09,207, $75.63 ,LXE87,4,8/25/09
1174,9/3/09,207, $82.71 ,2GYRW,4,9/3/09
1245,9/15/09,207, $60.77 ,PWDKC,4,9/15/09
1280,9/22/09,207, $55.27 ,D5AP2,4,9/22/09
1378,10/8/09,207, $38.15 ,4RB2N,4,10/8/09
1597,11/3/09,207, $58.52 ,MLWHL,4,11/3/09
1661,11/10/09,207, $37.72 ,Z642W,4,11/10/09
1905,12/1/09,207, $53.44 ,4AZMQ,4,12/1/09
1992,12/8/09,207, $31.40 ,7XWFQ,4,12/8/09
2057,12/15/09,207, $41.51 ,PSESN,4,12/15/09
2107,12/21/09,207, $81.22 ,GLUH6,4,12/22/09
2499,1/26/10,207, $76.44 ,8C37P,4,1/26/10
2631,2/2/10,207, $72.02 ,SZFQG,4,2/3/10
2871,2/16/10,207, $71.81 ,FD9LD,4,2/17/10
2973,2/22/10,207, $22.98 ,QPDJP,4,2/23/10
3049,2/26/10,207, $21.88 ,SAFUP,4,2/26/10
3110,3/2/10,207, $64.94 ,AXV93,4,3/2/10
3211,3/8/10,207, $57.05 ,DX6JP,4,3/8/10
287,1/28/09,225, $16.99 ,TFCX6,3,1/29/09
308,2/10/09,230, $16.66 ,GEM33,3,2/10/09
348,3/5/09,230, $18.70 ,89WWL,4,3/5/09
434,4/14/09,230, $21.34 ,H9545,3,4/14/09
257,1/6/09,253, $57.51 ,6T3J5,3,1/6/09
274,1/15/09,253, $64.83 ,GE3YZ,3,1/15/09
277,1/20/09,253, $80.48 ,NNY5A,3,1/20/09
283,1/27/09,253, $91.53 ,GHWB5,3,1/27/09
293,2/2/09,253, $54.86 ,XAAX4,2,2/2/09
295,2/4/09,253, $50.12 ,YNGMD,2,2/4/09
309,2/11/09,253, $76.89 ,BADHL,2,2/11/09
310,2/11/09,253, $18.75 ,T5Q4Y,2,2/11/09
352,3/9/09,253, $93.34 ,TVFB2,4,3/10/09
381,3/19/09,253, $88.84 ,U928K,4,3/19/09
387,3/24/09,253, $83.93 ,WB4PC,4,3/24/09
393,3/26/09,253, $21.29 ,NQDWX,4,3/26/09
399,3/31/09,253, $72.70 ,FZ8JJ,4,3/31/09
405,4/2/09,253, $47.92 ,QHZNE,3,4/2/09
411,4/7/09,253, $115.56 ,RJRFJ,4,4/7/09
419,4/9/09,253, $32.34 ,MFCUJ,3,4/9/09
420,4/9/09,253, $5.45 ,QNYTH,3,4/9/09
435,4/14/09,253, $67.21 ,8JT56,4,4/14/09
439,4/16/09,253, $16.96 ,9DY9B,3,4/16/09
468,4/23/09,253, $85.90 ,HD3G5,4,4/23/09
499,4/30/09,253, $102.09 ,EJKBT,4,4/30/09
528,5/5/09,253, $53.73 ,%%528,4,5/5/09
533,5/7/09,253, $78.98 ,%%533,3,5/7/09
563,5/12/09,253, $81.41 ,J2SPA,4,5/12/09
606,5/20/09,253, $40.97 ,FT5V7,4,5/21/09
613,5/21/09,253, $59.61 ,YWH23,4,5/21/09
636,5/26/09,253, $104.19 ,Z4ARW,4,5/26/09
680,6/4/09,253, $91.58 ,LHMJE,5,6/5/09
681,6/4/09,253, $13.27 ,CJFXQ,5,6/5/09
696,6/9/09,253, $25.33 ,49C7Q,3,6/9/09
736,6/16/09,253, $141.65 ,FMXXY,4,6/16/09
762,6/19/09,253, $38.99 ,ZVMV5,5,6/19/09
785,6/25/09,253, $105.84 ,BRHGR,4,6/25/09
791,6/26/09,253, $36.05 ,2J6HL,5,6/26/09
826,7/2/09,253, $68.47 ,M7MKC,6,7/2/09
844,7/7/09,253, $167.73 ,LDMDP,3,7/7/09
896,7/14/09,253, $243.92 ,4TWU6,4,7/14/09
930,7/21/09,253, $67.33 ,GGTHH,4,7/21/09
939,7/23/09,253, $78.30 ,RCAUB,6,7/23/09
991,7/31/09,253, $73.45 ,7MU9B,5,7/31/09
1004,8/4/09,253, $112.51 ,AEPLY,4,8/4/09
1044,8/11/09,253, $275.94 ,KV7M2,4,8/11/09
1065,8/17/09,253, $93.54 ,QQECQ,4,8/18/09
1072,8/18/09,253, $8.55 ,4M6FH,4,8/18/09
1121,8/25/09,253, $117.28 ,W499U,3,8/25/09
1163,9/1/09,253, $133.15 ,TMDA6,3,9/1/09
1164,9/1/09,253, $15.10 ,FQNRH,3,9/1/09
1211,9/8/09,253, $77.84 ,4LWYX,3,9/8/09
1249,9/15/09,253, $120.71 ,FSRRY,3,9/15/09
1295,9/23/09,253, $183.56 ,XH7S2,6,9/24/09
1306,9/24/09,253, $12.89 ,D69ZH,6,9/24/09
1326,9/29/09,253, $64.67 ,RDVP5,3,9/29/09
1381,10/8/09,253, $193.02 ,JDKYJ,6,10/8/09
1419,10/14/09,253, $136.45 ,73SV2,6,10/15/09
1429,10/15/09,253, $23.74 ,AMQFX,6,10/15/09
1594,11/3/09,253, $141.14 ,LFS67,3,11/3/09
1622,11/5/09,253, $33.35 ,DJEBJ,5,11/6/09
1749,11/12/09,253, $58.25 ,NTZMY,15,11/13/09
1944,12/4/09,253, $184.13 ,8A7CG,5,12/4/09
1998,12/9/09,253, $82.70 ,UKJ9G,9,12/9/09
2022,12/11/09,253, $14.99 ,GA4BG,5,12/11/09
2093,12/18/09,253, $78.28 ,E84RF,5,12/18/09
2146,12/28/09,253, $198.74 ,ZPKKR,18,12/28/09
2148,12/28/09,253, $5.12 ,YH4N5,18,12/28/09
2233,1/5/10,253, $65.16 ,XRSCD,3,1/5/10
2250,1/7/10,253, $31.15 ,WGQQY,6,1/7/10
2324,1/12/10,253, $210.89 ,NSU2Q,3,1/12/10
2408,1/19/10,253, $105.74 ,DTSTE,3,1/19/10
2500,1/26/10,253, $166.46 ,B52SU,3,1/26/10
2573,1/30/10,253, $42.40 ,3QJXT,18,2/1/10
2598,2/1/10,253, $136.11 ,B228X,18,2/1/10
2744,2/9/10,253, $203.43 ,6875M,3,2/9/10
2853,2/15/10,253, $129.07 ,FN8AT,18,2/15/10
2971,2/22/10,253, $166.37 ,PCPFA,18,2/22/10
3089,3/1/10,253, $165.14 ,Y2R9C,18,3/1/10
3225,3/8/10,253, $294.27 ,FCSCN,18,3/8/10
270,1/14/09,277, $127.47 ,EZATD,2,1/14/09
286,1/28/09,277, $146.09 ,QLDNM,2,1/28/09
315,2/15/09,277, $89.30 ,SAMKG,2,2/16/09
335,2/25/09,277, $169.72 ,7ZQQK,2,2/25/09
362,3/11/09,277, $104.45 ,ZAAAS,4,3/12/09
383,3/19/09,277, $187.81 ,VMNHJ,4,3/19/09
404,4/2/09,277, $117.76 ,RC8HW,4,4/2/09
417,4/9/09,277, $64.80 ,249WL,4,4/9/09
437,4/15/09,277, $47.03 ,MGVDQ,4,4/16/09
458,4/20/09,277, $94.87 ,X8R62,4,4/21/09
565,5/12/09,277, $181.30 ,CLA2G,4,5/12/09
614,5/21/09,277, $118.76 ,R37EN,4,5/21/09
695,6/9/09,277, $177.12 ,PZVFL,4,6/9/09
758,6/18/09,277, $120.61 ,YXKDK,4,6/18/09
820,7/2/09,277, $137.01 ,FFBGH,4,7/2/09
885,7/13/09,277, $179.49 ,TFDVF,4,7/14/09
967,7/29/09,277, $100.05 ,8BFPY,4,7/30/09
1061,8/17/09,277, $269.13 ,25PEQ,4,8/18/09
1169,9/2/09,277, $234.59 ,9JJLS,4,9/3/09
1289,9/22/09,277, $136.58 ,6JP8C,4,9/22/09
1331,9/29/09,277, $105.68 ,GNUB5,4,9/29/09
1467,10/20/09,277, $153.09 ,HDAW4,4,10/21/09
1593,11/3/09,277, $212.57 ,7VUM4,4,11/3/09
1693,11/11/09,277, $199.81 ,CQ494,11,11/11/09
2071,12/16/09,277, $336.72 ,TZBTU,4,12/17/09
2121,12/22/09,277, $100.14 ,5VC6G,4,12/22/09
2325,1/12/10,277, $263.48 ,WMZCH,11,1/13/10
2470,1/25/10,277, $286.32 ,E8GYU,4,1/25/10
2620,2/2/10,277, $214.04 ,FM776,4,2/2/10
2975,2/22/10,277, $210.30 ,M28FM,4,3/1/10
3226,3/8/10,277, $200.38 ,4J2YE,4,3/9/10
304,2/9/09,407, $20.55 ,UP3XG,3,2/12/09
268,1/13/09,457, $50.21 ,RJ4JJ,2,1/14/09
349,3/5/09,457, $39.44 ,CQYRU,4,3/5/09
927,7/21/09,457, $50.67 ,DU3LF,3,7/21/09
2041,12/14/09,457, $92.25 ,5XDTF,18,12/14/09
2296,1/11/10,457, $56.07 ,EBYL4,18,1/11/10
2386,1/18/10,457, $28.81 ,K8RMX,18,1/18/10
2479,1/25/10,457, $53.89 ,LRSNB,18,1/25/10
2963,2/22/10,457, $37.13 ,HS96B,18,2/22/10
3131,3/3/10,457, $60.24 ,6MN4M,11,3/3/10
3208,3/8/10,457, $42.56 ,XKBEP,18,3/8/10
329,2/19/09,464, $12.60 ,RR7TA,3,2/19/09
263,1/12/09,550, $87.63 ,6GC3F,2,1/12/09
303,2/9/09,550, $89.33 ,A8UEG,2,2/9/09
334,2/23/09,550, $177.63 ,RB7XZ,2,2/23/09
661,5/31/09,550, $101.09 ,U8SZM,4,6/2/09
769,6/22/09,550, $94.34 ,CJ9Z6,4,6/23/09
2246,1/6/10,550, $113.77 ,FA48Z,6,1/7/10
281,1/24/09,616, $101.22 ,VRL6K,3,1/27/09
372,3/17/09,616, $93.29 ,N45NC,4,3/17/09
457,4/20/09,616, $191.62 ,6YBX6,4,4/21/09
594,5/19/09,807, $89.56 ,6P9J6,3,5/19/09
710,6/11/09,807, $32.70 ,E8AYE,6,6/11/09
890,7/14/09,807, $41.79 ,Y9LM2,3,7/14/09
2106,12/21/09,825, $52.39 ,ACEYT,4,12/22/09
267,1/13/09,891, $131.98 ,GL97J,3,1/13/09
282,1/27/09,891, $105.73 ,BYLT6,3,1/27/09
305,2/10/09,891, $136.07 ,8FE37,3,2/10/09
336,2/25/09,891, $117.51 ,MQTTC,2,2/25/09
359,3/10/09,891, $134.00 ,MD6NG,4,3/10/09
401,4/1/09,891, $155.35 ,5ZRKG,4,4/2/09
432,4/14/09,891, $67.66 ,KSZ83,4,4/14/09
492,4/27/09,891, $145.37 ,BPA97,4,4/28/09
592,5/18/09,891, $117.51 ,KLNRT,4,5/19/09
650,5/28/09,891, $127.47 ,J7GNQ,4,5/28/09
703,6/10/09,891, $66.28 ,QS5SA,4,6/11/09
729,6/15/09,891, $66.08 ,ASV3U,4,6/16/09
770,6/22/09,891, $54.13 ,R2VGF,4,6/23/09
889,7/14/09,891, $47.88 ,SRWVH,4,7/14/09
924,7/20/09,891, $44.42 ,42PKC,4,7/21/09
1204,9/8/09,891, $114.02 ,VCRBQ,4,9/8/09
1476,10/21/09,891, $56.03 ,QTPU4,4,10/22/09
1616,11/5/09,891, $130.41 ,S58HG,4,11/5/09
1818,11/18/09,891, $51.33 ,X3SAP,4,11/18/09
1961,12/6/09,891, $60.92 ,FRTLZ,4,12/7/09
2122,12/22/09,891, $45.71 ,KRHW8,4,12/22/09
2131,12/23/09,891, $63.31 ,UR5YA,4,12/23/09
2432,1/21/10,891, $69.55 ,S5P2B,4,1/21/10
2678,2/4/10,891, $132.97 ,M6ZDH,4,2/5/10
280,1/20/09,899, $12.29 ,WNYJY,3,1/20/09
2330,1/12/10,937, $41.35 ,PNQCR,11,1/13/10
2403,1/19/10,937, $35.54 ,5WV2U,11,1/20/10
2510,1/27/10,937, $48.65 ,RQ5QF,11,1/27/10
3130,3/3/10,937, $56.33 ,VLU5R,11,3/3/10
2203,1/4/10,940, $116.41 ,8FRRC,5,1/8/10
560,5/10/09,1023, $28.82 ,QZGXS,5,5/15/09
589,5/15/09,1023, $26.37 ,BT94E,5,5/15/09
619,5/21/09,1023, $46.00 ,AUJMK,5,5/22/09
1229,9/11/09,1023, $36.99 ,VGRTP,5,9/11/09
1349,10/1/09,1023, $76.52 ,2RUUP,5,10/2/09
2140,12/27/09,1027, $42.82 ,SBTD6,15,12/28/09
342,3/1/09,1409, $25.93 ,7EMRK,3,3/3/09
602,5/19/09,1409, $27.01 ,NQFQ2,4,5/19/09
1496,10/22/09,1409, $53.66 ,6E8YW,7,10/27/09
259,1/6/09,1558, $62.74 ,M5QH8,3,1/6/09
284,1/27/09,1558, $71.88 ,ELLRK,3,1/27/09
371,3/17/09,1558, $44.01 ,3EKEU,3,3/17/09
394,3/26/09,1558, $37.78 ,23697,3,3/26/09
600,5/19/09,1558, $46.98 ,QHYY3,3,5/19/09
1591,11/3/09,1558, $138.56 ,ZDV3V,3,11/3/09
1798,11/17/09,1558, $76.85 ,J4CHJ,3,11/17/09
1869,11/23/09,1558, $236.45 ,JP9SK,3,11/24/09
1903,11/30/09,1558, $102.90 ,CANUH,3,12/1/09
1990,12/8/09,1558, $50.47 ,WGXUY,3,12/8/09
1991,12/8/09,1558, $14.21 ,SF5DE,3,12/8/09
2058,12/15/09,1558, $281.61 ,85Q2P,3,12/15/09
2231,1/5/10,1558, $112.77 ,L3R8S,3,1/5/10
307,2/10/09,1588, $18.32 ,FLUWJ,3,2/10/09
269,1/14/09,1625, $33.22 ,5A8NQ,2,1/14/09
545,5/8/09,1625, $48.49 ,ZM7RS,5,5/8/09
624,5/22/09,1625, $36.40 ,ADX6Z,5,5/22/09
989,7/31/09,1625, $50.07 ,E4YCW,5,7/31/09
1099,8/21/09,1625, $27.39 ,FXP6M,5,8/21/09
1303,9/24/09,1625, $35.56 ,4F8CJ,6,9/24/09
1567,10/30/09,1625, $50.38 ,Q5HP4,5,10/30/09
2567,1/29/10,1625, $33.81 ,RSAGK,5,1/29/10
1067,8/18/09,1701, $57.33 ,6NT9F,5,8/21/09
1214,9/9/09,1701, $50.49 ,CEQTU,5,9/11/09
1307,9/24/09,1701, $91.76 ,RKCZ4,5,9/25/09
1389,10/8/09,1701, $28.39 ,9QYWB,5,10/9/09
1432,10/15/09,1701, $28.79 ,JM2EN,5,10/16/09
1568,10/30/09,1701, $53.12 ,VF6B5,5,10/30/09
1872,11/24/09,1701, $51.63 ,AHLRY,11,11/25/09
2087,12/18/09,1701, $106.28 ,FFZJY,5,12/18/09
2174,12/30/09,1701, $116.42 ,YKWFT,15,1/4/10
1336,9/30/09,1844, $53.14 ,Y5YYS,5,10/2/09
1514,10/24/09,1925, $87.58 ,6H6RE,6,10/29/09
358,3/10/09,2195, $49.15 ,94DQP,3,3/12/09
374,3/17/09,2195, $23.27 ,YBPWT,3,3/19/09
641,5/27/09,2195, $53.77 ,JXVNF,3,5/28/09
662,6/1/09,2195, $47.58 ,PE48Q,3,6/2/09
2585,1/31/10,2195, $95.46 ,PMN5Q,3,2/2/10
2872,2/16/10,2195, $64.84 ,ZSGQ6,9,2/17/10
2259,1/7/10,2235, $25.72 ,W66VA,15,1/11/10
2336,1/13/10,2235, $16.54 ,TBTJV,15,1/18/10
2405,1/19/10,2235, $14.35 ,BD4LG,15,1/25/10
2804,2/12/10,2235, $35.57 ,WPWWG,15,2/15/10
297,2/4/09,2583, $21.37 ,ST4GF,2,2/4/09
709,6/11/09,2583, $25.19 ,RXS2X,6,6/11/09
757,6/18/09,2583, $15.41 ,4ZWBZ,6,6/18/09
780,6/25/09,2583, $31.34 ,JEUNE,6,6/25/09
825,7/2/09,2583, $21.86 ,33DKS,6,7/2/09
937,7/23/09,2583, $17.14 ,B6G8Q,6,7/23/09
1089,8/20/09,2583, $35.86 ,ERR8E,6,8/20/09
1177,9/3/09,2583, $34.83 ,3QH8W,6,9/3/09
1222,9/10/09,2583, $59.49 ,DFQ89,6,9/10/09
1261,9/17/09,2583, $21.72 ,W4JLW,6,9/17/09
1305,9/24/09,2583, $15.76 ,PT396,6,9/24/09
1346,10/1/09,2583, $34.94 ,WEFFM,6,10/1/09
1382,10/8/09,2583, $28.88 ,4KQHY,6,10/8/09
1489,10/22/09,2583, $19.76 ,2QETX,6,10/22/09
1706,11/11/09,2583, $29.80 ,AQCBP,11,11/11/09
1975,12/7/09,2583, $57.62 ,RK3GG,18,12/7/09
2145,12/28/09,2583, $69.13 ,X3FLH,18,12/28/09
2770,2/10/10,2583, $33.40 ,C3BEH,11,2/10/10
3048,2/26/10,2583, $30.45 ,ALDXX,5,2/26/10
331,2/21/09,2930, $69.84 ,UXTWC,2,2/23/09
322,2/17/09,3181, $18.35 ,836WT,3,2/17/09
442,4/16/09,3181, $26.24 ,P2LP6,3,4/16/09
472,4/23/09,3181, $14.37 ,NC74H,3,4/23/09
256,1/6/09,3190, $35.48 ,PW8A3,2,1/7/09
541,5/7/09,3190, $15.05 ,8KWY4,5,5/8/09
542,5/7/09,3190, $2.99 ,3RKTD,5,5/8/09
258,1/6/09,3194, $7.37 ,JTGT4,3,1/8/09
741,6/17/09,3194, $20.62 ,KDC7K,4,6/18/09
804,6/30/09,3194, $8.18 ,RJFH8,5,7/10/09
2589,1/31/10,3194, $20.82 ,3G7QJ,15,2/1/10
2228,1/5/10,3197, $73.80 ,K52DS,3,1/5/10
2254,1/7/10,3197, $62.90 ,3J5UK,15,1/8/10
2309,1/11/10,3197, $56.95 ,NZ357,3,1/12/10
2439,1/21/10,3197, $91.10 ,PY3MT,15,1/22/10
2550,1/29/10,3197, $74.07 ,CS5LJ,15,1/29/10
266,1/13/09,3355, $3.68 ,ACX3T,3,1/13/09
271,1/14/09,3385, $47.56 ,XLKGQ,3,1/15/09
433,4/14/09,3385, $41.90 ,MCDV4,3,4/14/09
1080,8/19/09,3385, $51.56 ,NXH8U,4,8/20/09
273,1/15/09,3394, $13.64 ,DH9T9,3,1/15/09
320,2/17/09,3394, $37.05 ,AJJ7X,3,2/17/09
379,3/18/09,3394, $27.52 ,V96EQ,3,3/19/09
438,4/15/09,3394, $53.96 ,FMAP6,3,4/16/09
726,6/15/09,3394, $34.52 ,84KQ5,3,6/16/09
1113,8/25/09,3394, $28.36 ,F728R,3,8/25/09
288,1/28/09,3616, $8.06 ,WT9H3,3,1/29/09
290,1/29/09,3640, $31.84 ,J6Z66,3,1/29/09
932,7/21/09,3640, $44.27 ,CHELB,4,7/23/09
1200,9/7/09,3640, $59.91 ,69RAP,4,9/8/09
1250,9/15/09,3640, $43.96 ,ZSNJL,4,9/17/09
