id,description
11,"Baby sunshade top - Soft, stretchy polyester fabric is fast wicking, quick drying and breathable <br><br><b>Details:</b><ul> <li>Lap shoulders relax the silhouette </li> <li>Extended roll-down cuffs accommodate growth spurts; drop hem waist provides extra coverage</li></ul><br><br><b>Fabric: </b>4.3-oz 100% polyester jersey. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(0 g 0 oz)<br><br>Made in Vietnam."
12,"Baggies shorts - Even Baggies, our most popular shorts for anything, or nothing, occasionally need an update. This season we've increased the inseam length. Their casual fit, quick-drying water-repellent nylon and elasticized waistband with an internal drawstring remain the same as ever. Other features include a polyester mesh lining, a rear snap pocket and front pockets (with self-draining mesh corners) positioned to reduce drag in the water. Inseam (size M) is 7"". Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Quick-drying nylon with a DWR (durable water repellent) finish</li> <li>Elasticized waistband with internal drawstring; black mesh liner</li> <li>Vertical on-seam side pockets for reduced drag in the water; pocket bags have quick-drain-and-dry mesh corners; snap-closed back pocket</li> <li>""Inseam is 7""""""</li></ul><br><br><b>Fabric: </b>4.2-oz 100% nylon with a DWR finish. Lining: 5.2-oz 100% polyester mesh. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(233 g 8.1 oz)<br><br>Made in Nicaragua."
13,"Beach bucket - Whenever you're at the junction of water and land, neutralize the sun's unforgiving rays with the wide brim and soft design of our versatile Beach Bucket. It has a durable, semi-rigid foam bill that is black underneath and casts refreshing 360-degree shade. The 6.8-oz 100% stretch-woven nylon fabric looks and feels like soft canvas, but provides water-shedding, fast-drying performance. Details: a moisture-wicking Coolmax headband, soft chin strap and an adjustable rear buckle for a reliable bond. Fabric 6.8-oz 100% stretch-woven nylon with DWR (durable water repellent) finish.<br><br><b>Details:</b><ul> <li>""Tough, easy care, stretch-woven nylon brim has durable, semi-rigid foam that floats""</li> <li>The bill provides 360-degree sun protection</li> <li>Black underbill to reduce glare</li> <li>Soft chin strap; moisture-wicking Coolmax headband; adjustable rear buckle</li></ul><br><br><b>Fabric: </b>6.8-oz 100% stretch-woven nylon with DWR (durable water repellent) finish<br><br><b>Weight: </b>(106 g 3.7 oz)<br><br>Made in China."
14,"Better sweater jkt - June nights camped out in New Mexico's Navajo country are starry and cold. Layer up in the softest fleece we've spun to date. Made from high-performance, sweater-knit polyester fleece, the Better Sweater is warm as wool and technically proficient. The stand-up collar has a zipper garage, and handwarmer pockets keep your fingers cozy. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Soft fleece has a sweater-knit face, fleeced interior and heathered overdyed yarns""</li> <li>Stand-up collar and full zip with garage</li> <li>Raglan sleeves</li> <li>Handwarmer pockets</li></ul><br><br><b>Fabric: </b>9.5-oz 100% polyester with sweater-knit exterior and fleece interior. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(577 g 20 oz)<br><br>Made in Thailand."
15,"Borderless shorts-11 in. - Go forward where others cringe. Our Borderless Shorts are made for prying into the outer reaches of unnamed terrain. They have a light, breathable fabric that blends 95% nylon (60% recycled) with 5% spandex mini ripstop to resist the effects of thrashy chimneys and provide stretch for the body language of going places. The DWR (durable water repellent) finish shrugs off water; built-in 40-UPF sun protection shades your legs in open country. Other features include a gusseted crotch to preserve mobility, two front pockets you can access while wearing a harness and a partially elastic waist to keep your shorts adhered under the load of a hip belt. The rear welted pockets secure with zips. Inseam (size M) is 11"". Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Supple, soft blend of recycled nylon and spandex for total mobility, a light drape, fast dry time and abrasion resistance""</li> <li>Provides 40-UPF sun protection</li> <li>Partially elasticized waistband supports wide range of motion</li> <li>Generous wide-entry front pockets; left front pocket has a hidden internal zip security pocket; welted zippered back pockets</li> <li>Gusseted crotch for mobility</li> <li>""Inseam is 11""""""</li></ul><br><br><b>Fabric: </b>4-oz 95% nylon (60% recycled)/5% spandex with DWR (durable water repellent) finish. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(219 g 7.6 oz)<br><br>Made in Vietnam."
16,"Borderless shorts-7 in. - One of summertime's gifts is the chance to freely traverse alpine country. These shorts let you make the most of the season. They're made from a soft, supple weave of 95% nylon (60% recycled) and 5% spandex mini ripstop to stretch with energetic moves and breathe for a cooling airflow. A gusseted crotch allows a wide range of motion and a partially elastic waist keeps your shorts adhered under the load of a hip belt. Two on-the-slant front pockets ensure accessibility under a harness; the rear welted pockets secure with zips. With 40-UPF sun protection; inseam (size M) is 7"". Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Supple, soft blend of recycled nylon and spandex for total mobility, a light drape, fast dry time and abrasion resistance""</li> <li>Provides 40-UPF sun protection</li> <li>Partially elasticized waistband supports wide range of motion</li> <li>Generous wide-entry front pockets; welted zippered back pockets</li> <li>Gusseted crotch for mobility</li> <li>Inseam is 7'</li></ul><br><br><b>Fabric: </b>4-oz 95% nylon (60% recycled)/5% spandex with DWR (durable water repellent) finish. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(201 g 7 oz)<br><br>Made in Vietnam."
17,"Bucket hat - Besides its shade-casting prowess, the Bucket provides perfect eye cover after an extra-large fish taco fest. It's made from soft, fast-drying 100% nylon with a water-shedding finish to repel rain and ocean spray. The Bucket Hat features a time-tested design with a linear crown, crushable brim and ventilation holes to keep your noggin from hard-boiling. It also rolls into its own inside pocket.<br><br><b>Details:</b><ul> <li>""Lightweight, fast-drying, easy-care fabric""</li> <li>DWR (durable water repellent) finish sheds rain and ocean spray</li> <li>""Crushable, 360-degree brim provides complete sun protection""</li> <li>Rolls into its inside pocket</li></ul><br><br><b>Fabric: </b>4.2-oz 100% nylon with a DWR (durable water repellent) finish<br><br><b>Weight: </b>(63 g 2.2 oz)<br><br>Made in China."
18,"Cap 1 bottoms - Spring skiing is as transient as the wind. Move fast, move light, and still stay dry with our lightest-weight Capilene performance baselayer. These bottoms wick perspiration, breathe, and dry quickly. Under a shell, they insulate without overheating. The waistband is brushed for softness, inseams are set forward to prevent chafe, and a gusseted crotch improves mobility. With a functional fly. Made from 3.7-oz 100% all-recycled polyester, with Gladiodor natural odor control for the garment and 15-UPF sun protection. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Silky soft Capilene 1 is the lightest of our technical baselayer fabrics</li> <li>""Fast-drying, highly breathable and sleek, it provides 15-UPF sun protection and can be worn either on its own or under layers in cooler temps""</li> <li>Elastic waistband is brushed for next-to-skin softness</li> <li>""Streamlined, functional fly""</li> <li>Inseams are set forward to prevent chafe</li></ul><br><br><b>Fabric: </b>3.7-oz 100% recycled polyester with Gladiodor natural odor control for the garment and 15-UPF sun protection. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(158 g 5.5 oz)<br><br>Made in USA."
19,"Cap 1 boxer briefs - On bivy or belay, the form-fitting Capilene 1 Boxer Briefs stay dry and comfortable. Made from 100% recycled polyester, the underwear excels at moisture-wicking and has Gladiodor natural odor control for the garment. Exposed elastic waistband is brushed for softness; the hem is coverstitched for a smooth glide beneath shorts or pants. Fully-functioning fly and supportive front panel keep you covered. 5 1/2"" inseam (size M). Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Moisture-wicking Capilene 1 fabric with Gladiodor for exceptional next-to-skin comfort and natural odor control for the garment</li> <li>Brushed elastic waistband</li> <li>Supportive front panel</li> <li>""Cover-stitched hem for smooth glide under shorts or pants, won't restrict mobility""</li> <li>""Inseam (size M) is 5 1/2""""""</li></ul><br><br><b>Fabric: </b>3.7-oz 100% all-recycled polyester with Gladiodor&#174; natural odor control for the garment. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(72 g 2.5 oz)<br><br>Made in USA."
20,"Cap 1 graphic t-shirt - This tee is made from our lightest-weight Capilene fabric to achieve a harmonic balance between technical ability and slacker prowess. Designed for dry, cool comfort and sun protection, it's highly breathable and fast-drying and has a silky feel. With a rib-knit collar that's soft against the skin, raglan sleeves that reduce chafing under packs and a tuckable length. Sublimated graphics won't impede breathability. Made from 3.7-oz 100% all-recycled polyester with Gladiodor natural odor control for the garment and 15-UPF sun protection. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Silky soft Capilene 1 is the lightest of our technical baselayer fabrics</li> <li>""Fast-drying, highly breathable and sleek, it provides 15-UPF sun protection and can be worn either on its own or under layers in cooler temps""</li> <li>Rib-knit collar is soft against the skin</li> <li>Graphic elements sublimated into the fabric won't impede breathability or wicking performance</li> <li>Set-in sleeves</li> <li>Cut long enough to tuck in</li></ul><br><br><b>Fabric: </b>3.7-oz 100% recycled polyester with Gladiodor natural odor control for the garment and 15-UPF sun protection. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(132 g 4.6 oz)<br><br>Made in USA."
21,"Cap 1 t-shirt - Minimally styled but technically evolved for punishing expanses of hot country, our silky, ultra-breathable Capilene 1 T-Shirt is quick to wick and fast to dry. The rib-knit collar is soft against skin, and the generous hem is long enough to tuck in. Made from 3.7-oz 100% all-recycled polyester, with Gladiodor natural odor control for the garment and 15-UPF sun protection. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Silky soft Capilene 1 is the lightest of our technical baselayer fabrics</li> <li>""Fast-drying, highly breathable and sleek, it provides 15-UPF sun protection and can be worn either on its own or under layers in cooler temps""</li> <li>Rib-knit collar is soft against the skin</li> <li>Set-in sleeves</li> <li>Cut long enough to tuck in</li></ul><br><br><b>Fabric: </b>3.7-oz 100% recycled polyester with Gladiodor natural odor control for the garment and 15-UPF sun protection. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>130 g (4.6 oz)<br><br>Made in USA."
22,"Cap 2 t-shirt - This one revels in the sweat jamborees of hill climbs, ridge runs and desert singletrack under a resolute sun. Made from the fastest-drying of our performance baselayer fabrics, it has an open knit that invites airflow and provides excellent wicking and exceptional breathability. When worn beneath layers, it's also insulative enough for chilly days. The self-binding neck is pliable and soft; raglan sleeves and flat-ribbed underarm panels merge out of the way of straps to eliminate chafe. Made of 4-oz 100% polyester (54% recycled) with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Capilene 2 fabric has an open knit that invites airflow and provides excellent wicking for endurance activities in warm to moderate temperatures</li> <li>""Fastest-drying of our Capilene fabrics, it insulates enough for use on chilly days and can be worn beneath other layers""</li> <li>Self-fabric neckline soft against skin</li> <li>Raglan sleeves and underarm panels merge out of the way of pack straps</li> <li>""Flat-rib panel-piecing under the arms and sides is exceptionally breathable, fast drying and eliminates armpit seam chafing""</li></ul><br><br><b>Fabric: </b>4-oz 100% polyester (54% recycled) with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>121 g (4.3 oz)<br><br>Made in Mexico."
23,"Cap 2 zip neck - Designed for wet-then-chill pursuits like backcountry skiing, alpine climbing and mountain trekking, our fastest-drying performance baselayer will keep you cool during endurance activities in warmer temperatures, but also insulates when skies turn dark. Its open knit invites airflow and provides excellent wicking and exceptional breathability. A draft flap backs the zipper, and raglan sleeves eliminate chafe under pack straps. Flat-rib side panels merge with flat, offset seams for chafe-free comfort. Made from 4-oz 100% polyester (54% recycled) with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Capilene 2 fabric has open knit that invites airflow and provides excellent wicking for endurance activities in warm to moderate temperatures</li> <li>""Fastest-drying of our Capilene fabrics, it insulates enough for use on chilly days and can be worn beneath other layers""</li> <li>Zip-neck for easy climate control is backed by draft flap and zipper garage</li> <li>Raglan sleeves and underarm panels merge out of the way of pack straps</li> <li>""Flat-rib panel-piecing under the arms and sides is exceptionally breathable, fast drying and eliminates armpit seam chafing""</li></ul><br><br><b>Fabric: </b>4-oz 100% polyester (54% recycled) with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(175 g 6.1 oz)<br><br>Made in Mexico."
24,"Cap 3 zip neck - Capilene 3 provides excellent insulation and next-to-skin comfort for endurance activities in cool to cold conditions. Its dense interior honeycomb construction is brushed for warmth, softness and compressibility, and a smooth jersey exterior glides readily beneath layers. Raglan sleeves and a single-piece shoulder panel merge out of the way of shoulder straps. Seams are rolled forward and side panels are offset to eliminate chafe. The zip-neck, backed by a draft flap and zipper garage, makes for easy climate control. Made from 4.8-oz 100% polyester (64% recycled) with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""The fastest-wicking of our baselayer fabrics, Capilene 3 features a dense interior honeycomb construction""</li> <li>""Fabric next to skin is brushed for warmth, softness and compressibility, while providing excellent insulation and breathability""</li> <li>Smooth jersey exterior glides easily under layers</li> <li>Zip-neck for easy climate control is backed by draft flap and zipper garage</li> <li>Raglan sleeves and single-piece shoulder panel merge out of the way of pack straps</li> <li>Side seams are rolled forward for comfort under hip belt</li></ul><br><br><b>Fabric: </b>4.8-oz 100% polyester (64% recycled) with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>221 g (7.8 oz)<br><br>Made in Costa Rica."
25,"Cap 4 bottoms - For sufferfests like the Grand in January, a pair of these warm bottoms will add a bright side to your grief. Our warmest synthetic performance baselayer, Capilene 4 fabric is stretchy and compressible. Its smooth jersey exterior glides easily beneath layers, and the cozy internal grid traps warmth, wicks moisture, and is highly breathable. With a brushed-elastic waistband that's soft against skin. Made from 5.3-oz Polartec Power Dry 93% polyester (50% recycled)/7% spandex, with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Our warmest baselayer fabric, Capilene 4 offers stretch, great breathability and compressibility""</li> <li>""Interior grid wicks moisture, trims bulk and provides warmth""</li> <li>Smooth jersey face slides easily beneath layers</li> <li>""4-panel construction, pull-on tights""</li> <li>Elastic waistband is brushed for next-to-skin softness</li></ul><br><br><b>Fabric: </b>""5.3-oz Polartec Power Dry 93% polyester (50% recycled)/7% spandex, with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling Program""<br><br><b>Weight: </b>(187 g 6.5 oz)<br><br>Made in Costa Rica."
26,"City by the sea t-shirt - Illustrating the renaissance of sea-inspired, community living, artist Geoff McFetridge's work adorns the City-By-The-Sea T-Shirt. Lightweight, 100% organic cotton fabric is ringspun for softness. Taped shoulder seams prevent chafing. PVC- and phthalate-free inks are easier on the environment. The tee is Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ringspun yarns for a softer hand</li> <li>Taped shoulder seams</li> <li>Screen-print inks are PVC- and phthalate-free</li></ul><br><br><b>Fabric: </b>4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(150 g 5.2 oz)<br><br>Made in USA."
27,"Compound cargo pants - long - The ultimate do-everything pants, built to withstand daily abuse. With cargo pockets modeled after vintage army blocks, our Compound Cargos are perfect for hitting the trail with a stash of climbing shoes, multitools, spare fins, wax, dry salami and the odd can of beer. Additional pocketing includes two generous front drop-in and two rear with hidden button-flap closures. Made from tough 5.5-oz organic cotton ripstop that has the tear strength of standard 8-oz material, they're hardy but lightweight and ready for action. Inseams (size 32): short, 30""; regular, 32""; long, 34"". Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Lightweight yet durable organic cotton ripstop</li> <li>Features our new fit block</li> <li>Two generous wide-entry drop-in front pockets</li> <li>Two side-seam cargo pockets with hidden button flap</li> <li>Two rear pockets with hidden button flap</li> <li>""Inseam is 34""""""</li></ul><br><br><b>Fabric: </b>5.5-oz 100% organic cotton ripstop. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(548 g 19 oz)<br><br>Made in Thailand."
28,"Compound cargo pants - reg - The ultimate do-everything pants, built to withstand daily abuse. With cargo pockets modeled after vintage army blocks, our Compound Cargos are perfect for hitting the trail with a stash of climbing shoes, multitools, spare fins, wax, dry salami and the odd can of beer. Additional pocketing includes two generous front drop-in and two rear with hidden button-flap closures. Made from tough 5.5-oz organic cotton ripstop that has the tear strength of standard 8-oz material, they're hardy but lightweight and ready for action. Inseams (size 32): short, 30""; regular, 32""; long, 34"". Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Lightweight yet durable organic cotton ripstop</li> <li>Features our new fit block</li> <li>Two generous wide-entry drop-in front pockets</li> <li>Two side-seam cargo pockets with hidden button flap</li> <li>Two rear pockets with hidden button flap</li> <li>""Inseam is 32""""""</li></ul><br><br><b>Fabric: </b>5.5-oz 100% organic cotton ripstop. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(536 g 18.6 oz)<br><br>Made in Thailand."
29,"Continental shorts - Wrinkle-resistant travel shorts that do what any great mountainside-to-museum garment should: wick moisture, dry quickly, and look sharp after successive days of use. The Continentals deploy our classic Guide fabric - a tough, agile blend of 53% polyester and 47% nylon with a DWR (durable water repellent) finish. Details include drop-in front pockets and two cargo and two rear pockets (each with one zipper closure and one hook-and-loop velcro closure). Regular fit; inseam (size 32) is 10 1/2"". Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Wrinkle-resistant, fast-drying polyester and nylon blend""</li> <li>Zip fly with button closure</li> <li>Drop-in front pockets</li> <li>Rear cargo pockets: right zippered; left with hook-and-loop closure</li> <li>""Side-seam cargo pockets: one zippered security, one with hook-and-loop for easy-access""</li> <li>DWR finish</li> <li>""Inseam is 10 1/2""""""</li></ul><br><br><b>Fabric: </b>5.2-oz 53% polyester/47% nylon with a DWR finish. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>269 g (9.5 oz)<br><br>Made in Vietnam."
